 98 ; 80.01.02.057 ;" Zamena pocinkovanog mufa 3/4"" "; kom ;0,00;1.619,00;40;0,00; 328656 ;1.619,00;1214,25;971,4;890,45;Zamena
 99 ; 80.01.02.058 ;" Zamena pocinkovanog mufa 1"" "; kom ;0,00;1.961,00;40;0,00; 328657 ;1.961,00;1470,75;1176,6;1.078,55;Zamena
 100 ; 80.01.02.059 ;" Zamena pocinkovanog mufa 5/4"" "; kom ;0,00;2.010,00;40;0,00; 328658 ;2.010,00;1507,5;1206;1.105,50;Zamena
 101 ; 80.01.02.060 ;" Zamena pocinkovanog mufa 6/4"" "; kom ;0,00;2.462,00;40;0,00; 328659 ;2.462,00;1846,5;1477,2;1.354,10;Zamena
 102 ; 80.01.02.061 ;" Zamena pocinkovanog mufa 2"" "; kom ;0,00;3.148,00;40;0,00; 328660 ;3.148,00;2361;1888,8;1.731,40;Zamena
 103 ; 80.01.02.062 ;" Zamena pocinkovanog mufa 2 1/2"" "; kom ;0,00;4.571,00;40;0,00; 328661 ;4.571,00;3428,25;2742,6;2.514,05;Zamena
 104 ; 80.01.02.063 ;" Zamena pocinkovanog mufa 3"" "; kom ;0,00;5.493,00;40;0,00; 328662 ;5.493,00;4119,75;3295,8;3.021,15;Zamena
 105 ; 80.01.02.064 ;" Demontaža pocinkovanog mufa 1/2"" "; kom ;0,00;478,00;40;0,00; 328663 ;478,00;358,5;286,8;262,90;Zamena
 106 ; 80.01.02.065 ;" Demontaža pocinkovanog mufa 3/4"" "; kom ;0,00;478,00;40;0,00; 328664 ;478,00;358,5;286,8;262,90;Zamena
 107 ; 80.01.02.066 ;" Demontaža pocinkovanog mufa 1"" "; kom ;0,00;578,00;40;0,00; 328665 ;578,00;433,5;346,8;317,90;Zamena
 108 ; 80.01.02.067 ;" Demontaža pocinkovanog mufa 5/4"" "; kom ;0,00;578,00;40;0,00; 328666 ;578,00;433,5;346,8;317,90;Zamena
 109 ; 80.01.02.068 ;" Demontaža pocinkovanog mufa 6/4"" "; kom ;0,00;716,00;40;0,00; 328667 ;716,00;537;429,6;393,80;Zamena
 110 ; 80.01.02.069 ;" Demontaža pocinkovanog mufa 2"" "; kom ;0,00;910,00;40;0,00; 328668 ;910,00;682,5;546;500,50;Zamena
 111 ; 80.01.02.070 ;" Demontaža pocinkovanog mufa 2 1/2"" "; kom ;0,00;1.306,00;40;0,00; 328669 ;1.306,00;979,5;783,6;718,30;Zamena
 112 ; 80.01.02.071 ;" Demontaža pocinkovanog mufa 3"" "; kom ;0,00;1.527,00;40;0,00; 328670 ;1.527,00;1145,25;916,2;839,85;Zamena
 113 ; 80.01.02.072 ;" Nabavka i ugradnja pocinkovanog mufa 1/2"" "; kom ;0,00;1.120,00;40;0,00; 328671 ;647,00;485,25;672;616,00;Zamena
 114 ; 80.01.02.073 ;" Nabavka i ugradnja pocinkovanog mufa 3/4"" "; kom ;0,00;1.141,00;40;0,00; 328672 ;664,00;498;684,6;627,55;Zamena
 115 ; 80.01.02.074 ;" Nabavka i ugradnja pocinkovanog mufa 1"" "; kom ;0,00;1.383,00;40;0,00; 328673 ;741,00;555,75;829,8;760,65;Zamena
 116 ; 80.01.02.075 ;" Nabavka i ugradnja pocinkovanog mufa 5/4"" "; kom ;0,00;1.432,00;40;0,00; 328275 ;1.022,00;766,5;859,2;787,60;Zamena
 117 ; 80.01.02.076 ;" Nabavka i ugradnja pocinkovanog mufa 6/4"" "; kom ;0,00;1.746,00;40;0,00; 328276 ;1.073,00;804,75;1047,6;960,30;Zamena
 118 ; 80.01.02.077 ;" Nabavka i ugradnja pocinkovanog mufa 2"" "; kom ;0,00;2.238,00;40;0,00; 328277 ;1.193,00;894,75;1342,8;1.230,90;Zamena
