Broj Fakture;Datum PDV;Iznos/Osnovica;Penal;PDV;Iznos sa penalom i PDV;PG Iznos/Osnovica;PG PDV;PG Penal;PG Iznos sa PDVom;Vrsta Naloga
GS-1320/2026;04.02.2026;30500.00;0.00;6100.00;36600.00;20587.50;4117.50;0.00;24705.00;NEODLOZNO
GS-1360/2026;04.02.2026;11300.00;0.00;2260.00;13560.00;7627.50;1525.50;0.00;9153.00;NEODLOZNO
GS-1455/2026;04.02.2026;5000.00;0.00;1000.00;6000.00;3375.00;675.00;0.00;4050.00;NEODLOZNO
GS-1352/2026;04.02.2026;7300.00;0.00;1460.00;8760.00;4927.50;985.50;0.00;5913.00;NEODLOZNO
GS-1356/2026;04.02.2026;9220.00;0.00;1844.00;11064.00;6223.50;1244.70;0.00;7468.20;NEODLOZNO
GS-1345/2026;04.02.2026;5000.00;0.00;1000.00;6000.00;3375.00;675.00;0.00;4050.00;NEODLOZNO
GS-1338/2026;04.02.2026;14220.00;0.00;2844.00;17064.00;9598.50;1919.70;0.00;11518.20;NEODLOZNO
GS-1388/2026;04.02.2026;13300.00;0.00;2660.00;15960.00;8977.50;1795.50;0.00;10773.00;NEODLOZNO
GS-1316/2026;04.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1324/2026;03.02.2026;216009.00;0.00;43201.80;259210.80;145806.08;29161.22;0.00;174967.29;NEODLOZNO
GS-1405/2026;03.02.2026;92192.20;0.00;18438.44;110630.64;62229.74;12445.95;0.00;74675.68;NEODLOZNO
GS-1374/2026;03.02.2026;6900.00;0.00;1380.00;8280.00;4657.50;931.50;0.00;5589.00;NEODLOZNO
GS-1370/2026;03.02.2026;83930.60;0.00;16786.12;100716.72;56653.16;11330.63;0.00;67983.79;NEODLOZNO
GS-1342/2026;03.02.2026;69893.60;0.00;13978.72;83872.32;47178.18;9435.64;0.00;56613.82;NEODLOZNO
GS-1369/2026;03.02.2026;15658.40;0.00;3131.68;18790.08;10569.42;2113.88;0.00;12683.30;NEODLOZNO
GS-1378/2026;03.02.2026;10900.00;0.00;2180.00;13080.00;7357.50;1471.50;0.00;8829.00;NEODLOZNO
GS-1380/2026;03.02.2026;41547.50;0.00;8309.50;49857.00;28044.56;5608.91;0.00;33653.48;NEODLOZNO
GS-1377/2026;03.02.2026;42022.60;0.00;8404.52;50427.12;28365.26;5673.05;0.00;34038.31;NEODLOZNO
GS-1376/2026;03.02.2026;32435.80;0.00;6487.16;38922.96;21894.17;4378.83;0.00;26273.00;NEODLOZNO
GS-1406/2026;03.02.2026;4600.00;0.00;920.00;5520.00;3105.00;621.00;0.00;3726.00;NEODLOZNO
GS-1375/2026;03.02.2026;34162.80;0.00;6832.56;40995.36;23059.89;4611.98;0.00;27671.87;NEODLOZNO
GS-1443/2026;03.02.2026;7464.00;0.00;1492.80;8956.80;5038.20;1007.64;0.00;6045.84;NEODLOZNO
GS-1372/2026;03.02.2026;21796.30;0.00;4359.26;26155.56;14712.50;2942.50;0.00;17655.00;NEODLOZNO
GS-1434/2026;03.02.2026;23482.00;0.00;4696.40;28178.40;15850.35;3170.07;0.00;19020.42;NEODLOZNO
GS-1325/2026;03.02.2026;27864.80;0.00;5572.96;33437.76;18808.74;3761.75;0.00;22570.49;NEODLOZNO
