Broj naloga;Mesec;Radna Jedinica;Tip;Iznos
1741893;Februar 2024;ČUKARICA;SAJLA;9220.00
1741894;Februar 2024;NOVI BEOGRAD;WOMA;36500.00
1741895;Februar 2024;ZEMUN;ZAMENA;5300.00
1741896;Februar 2024;ZEMUN;SAJLA;16220.00
1741897;Februar 2024;NOVI BEOGRAD;SAJLA;16220.00
1741900;Februar 2024;ZEMUN;ZAMENA;20190.40
1741901;Februar 2024;ČUKARICA;KOPANJE;198197.00
1741903;Februar 2024;ZEMUN;ZAMENA;40059.50
1741904;Februar 2024;ZEMUN;WOMA;25500.00
1741906;Februar 2024;ZEMUN;LOKALNO;6900.00
1741907;Februar 2024;NOVI BEOGRAD;ZAMENA;104721.40
1741908;Februar 2024;ZEMUN;ZAMENA;32063.00
1741910;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741911;Februar 2024;VOŽDOVAC;ZAMENA;41461.00
1741912;Februar 2024;VRAČAR;ZAMENA;292522.00
1741913;Februar 2024;NOVI BEOGRAD;ZAMENA;42127.00
1741914;Februar 2024;ČUKARICA;ZAMENA;23990.00
1741915;Februar 2024;NOVI BEOGRAD;ZAMENA;479568.50
1741916;Februar 2024;RAKOVICA;LOKALNO;6900.00
1741918;Februar 2024;ZVEZDARA;LOKALNO;6900.00
1741919;Februar 2024;VOŽDOVAC;LOKALNO;6900.00
1741920;Februar 2024;SAVSKI VENAC;KOPANJE;224709.00
1741921;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741923;Februar 2024;ČUKARICA;ZAMENA;35616.00
1741924;Februar 2024;RAKOVICA;ZAMENA;53486.00
1741925;Februar 2024;ZEMUN;ZAMENA;102284.00
1741926;Februar 2024;STARI GRAD;LOKALNO;6900.00
1741927;Februar 2024;ZVEZDARA;ZAMENA;30506.00
1741930;Februar 2024;ČUKARICA;KOPANJE;129955.75
1741928;Februar 2024;STARI GRAD;ZAMENA;17300.00
1741932;Februar 2024;VRAČAR;LOKALNO;6900.00
1741933;Februar 2024;STARI GRAD;LOKALNO;6900.00
1741934;Februar 2024;ČUKARICA;ZAMENA;18740.00
1741935;Februar 2024;ZEMUN;ZAMENA;114039.60
1741936;Februar 2024;ČUKARICA;ZAMENA;249726.00
1741937;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741939;Februar 2024;ZVEZDARA;ZAMENA;48119.60
1741941;Februar 2024;NOVI BEOGRAD;ZAMENA;37593.00
1741942;Februar 2024;NOVI BEOGRAD;ZAMENA;25410.00
1741943;Februar 2024;PALILULA;WOMA;40400.00
1741945;Februar 2024;ZVEZDARA;WOMA;249625.00
1741949;Februar 2024;ČUKARICA;ZAMENA;65332.00
1741952;Februar 2024;NOVI BEOGRAD;ZAMENA;97558.00
1741955;Februar 2024;NOVI BEOGRAD;LOKALNO;13800.00
1741958;Februar 2024;STARI GRAD;ZAMENA;39656.40
1741959;Februar 2024;NOVI BEOGRAD;WOMA;5000.00
1741962;Februar 2024;ZVEZDARA;ZAMENA;267927.00
1741965;Februar 2024;ZVEZDARA;LOKALNO;6900.00
1741969;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741971;Februar 2024;NOVI BEOGRAD;ZAMENA;13864.00
1741973;Februar 2024;STARI GRAD;ZAMENA;53101.60
1741974;Februar 2024;ČUKARICA;ZAMENA;54915.50
1741976;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741977;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741979;Februar 2024;STARI GRAD;ZAMENA;22000.00
1741980;Februar 2024;NOVI BEOGRAD;ZAMENA;55574.10
1741981;Februar 2024;ČUKARICA;WOMA;53500.00
1741982;Februar 2024;NOVI BEOGRAD;ZAMENA;22470.00
1741983;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741985;Februar 2024;ČUKARICA;SAJLA;9220.00
1741986;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741988;Februar 2024;ČUKARICA;KOPANJE;168256.96
1741989;Februar 2024;ČUKARICA;LOKALNO;6900.00
1741990;Februar 2024;NOVI BEOGRAD;ZAMENA;199311.20
1741991;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
1741992;Februar 2024;NOVI BEOGRAD;LOKALNO;6900.00
